snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260325,2026-03-25 01:23:45 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,draftkings,DraftKings,2026-03-25T05:23:14Z,h2h,2026-03-25T05:23:14Z,-2400,1200,
20260325,2026-03-25 01:23:45 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,fanduel,FanDuel,2026-03-25T05:22:55Z,h2h,2026-03-25T05:22:55Z,-3000,1120,
20260325,2026-03-25 01:23:45 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betrivers,BetRivers,2026-03-25T05:23:24Z,h2h,2026-03-25T05:23:24Z,-5000,950,
20260325,2026-03-25 01:23:45 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betmgm,BetMGM,2026-03-25T05:23:14Z,h2h,2026-03-25T05:23:14Z,-2000,1000,
20260325,2026-03-25 01:23:45 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,draftkings,DraftKings,2026-03-25T05:23:14Z,h2h,2026-03-25T05:23:14Z,-500,380,
20260325,2026-03-25 01:23:45 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,fanduel,FanDuel,2026-03-25T05:22:55Z,h2h,2026-03-25T05:22:55Z,-500,360,
20260325,2026-03-25 01:23:45 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,betrivers,BetRivers,2026-03-25T05:23:24Z,h2h,2026-03-25T05:23:24Z,-500,325,
20260325,2026-03-25 03:05:31 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-225,185,
20260325,2026-03-25 03:05:31 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,fanduel,FanDuel,2026-03-25T07:04:40Z,h2h,2026-03-25T07:04:40Z,-230,184,
20260325,2026-03-25 03:05:31 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betrivers,BetRivers,2026-03-25T07:05:01Z,h2h,2026-03-25T07:05:01Z,-245,180,
20260325,2026-03-25 03:05:31 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betmgm,BetMGM,2026-03-25T07:04:30Z,h2h,2026-03-25T07:04:30Z,-220,180,
20260325,2026-03-25 03:05:31 EDT,dd316675d9b1d54fe3f465a1fbc7ee24,basketball_wncaab,WNCAAB,2026-03-27T21:00:00Z,UConn Huskies,North Carolina Tar Heels,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-100000,5000,
20260325,2026-03-25 03:05:31 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-3600,1500,
20260325,2026-03-25 03:05:31 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,fanduel,FanDuel,2026-03-25T07:04:40Z,h2h,2026-03-25T07:04:40Z,-4000,1260,
20260325,2026-03-25 03:05:31 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,betmgm,BetMGM,2026-03-25T07:04:30Z,h2h,2026-03-25T07:04:30Z,-5000,1350,
20260325,2026-03-25 03:05:31 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-395,310,
20260325,2026-03-25 03:05:31 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betrivers,BetRivers,2026-03-25T07:05:01Z,h2h,2026-03-25T07:05:01Z,-435,290,
20260325,2026-03-25 03:05:31 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,fanduel,FanDuel,2026-03-25T07:04:40Z,h2h,2026-03-25T07:04:40Z,-400,300,
20260325,2026-03-25 03:05:31 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betmgm,BetMGM,2026-03-25T07:04:30Z,h2h,2026-03-25T07:04:30Z,-350,280,
20260325,2026-03-25 03:05:31 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-1350,800,
20260325,2026-03-25 03:05:31 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,fanduel,FanDuel,2026-03-25T07:04:40Z,h2h,2026-03-25T07:04:40Z,-2200,980,
20260325,2026-03-25 03:05:31 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betrivers,BetRivers,2026-03-25T07:05:01Z,h2h,2026-03-25T07:05:01Z,-2000,800,
20260325,2026-03-25 03:05:31 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betmgm,BetMGM,2026-03-25T07:04:30Z,h2h,2026-03-25T07:04:30Z,-1400,800,
20260325,2026-03-25 03:05:31 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,fanduel,FanDuel,2026-03-25T07:04:40Z,h2h,2026-03-25T07:04:40Z,-192,154,
20260325,2026-03-25 03:05:31 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-198,164,
20260325,2026-03-25 03:05:31 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,betrivers,BetRivers,2026-03-25T07:05:01Z,h2h,2026-03-25T07:05:01Z,-215,155,
20260325,2026-03-25 03:05:31 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-2400,1200,
20260325,2026-03-25 03:05:31 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,fanduel,FanDuel,2026-03-25T07:04:40Z,h2h,2026-03-25T07:04:40Z,-3000,1120,
20260325,2026-03-25 03:05:31 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betrivers,BetRivers,2026-03-25T07:05:01Z,h2h,2026-03-25T07:05:01Z,-5000,950,
20260325,2026-03-25 03:05:31 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betmgm,BetMGM,2026-03-25T07:04:30Z,h2h,2026-03-25T07:04:30Z,-2000,1000,
20260325,2026-03-25 03:05:31 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,draftkings,DraftKings,2026-03-25T07:05:22Z,h2h,2026-03-25T07:05:22Z,-500,380,
20260325,2026-03-25 03:05:31 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,fanduel,FanDuel,2026-03-25T07:04:40Z,h2h,2026-03-25T07:04:40Z,-500,360,
20260325,2026-03-25 03:05:31 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,betrivers,BetRivers,2026-03-25T07:05:01Z,h2h,2026-03-25T07:05:01Z,-500,325,
20260325,2026-03-25 04:55:01 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-225,185,
20260325,2026-03-25 04:55:01 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,fanduel,FanDuel,2026-03-25T08:54:16Z,h2h,2026-03-25T08:54:15Z,-230,184,
20260325,2026-03-25 04:55:01 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betrivers,BetRivers,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-245,180,
20260325,2026-03-25 04:55:01 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betmgm,BetMGM,2026-03-25T08:54:07Z,h2h,2026-03-25T08:54:07Z,-220,180,
20260325,2026-03-25 04:55:01 EDT,dd316675d9b1d54fe3f465a1fbc7ee24,basketball_wncaab,WNCAAB,2026-03-27T21:00:00Z,UConn Huskies,North Carolina Tar Heels,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-100000,5000,
20260325,2026-03-25 04:55:01 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-3600,1500,
20260325,2026-03-25 04:55:01 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,fanduel,FanDuel,2026-03-25T08:54:16Z,h2h,2026-03-25T08:54:16Z,-4000,1260,
20260325,2026-03-25 04:55:01 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,betmgm,BetMGM,2026-03-25T08:54:07Z,h2h,2026-03-25T08:54:07Z,-5000,1350,
20260325,2026-03-25 04:55:01 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-395,310,
20260325,2026-03-25 04:55:01 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betrivers,BetRivers,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-435,290,
20260325,2026-03-25 04:55:01 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,fanduel,FanDuel,2026-03-25T08:54:16Z,h2h,2026-03-25T08:54:15Z,-400,300,
20260325,2026-03-25 04:55:01 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betmgm,BetMGM,2026-03-25T08:54:07Z,h2h,2026-03-25T08:54:07Z,-350,280,
20260325,2026-03-25 04:55:01 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-1350,800,
20260325,2026-03-25 04:55:01 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,fanduel,FanDuel,2026-03-25T08:54:16Z,h2h,2026-03-25T08:54:15Z,-2200,980,
20260325,2026-03-25 04:55:01 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betrivers,BetRivers,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-2000,800,
20260325,2026-03-25 04:55:01 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betmgm,BetMGM,2026-03-25T08:54:07Z,h2h,2026-03-25T08:54:07Z,-1400,800,
20260325,2026-03-25 04:55:01 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,fanduel,FanDuel,2026-03-25T08:54:16Z,h2h,2026-03-25T08:54:15Z,-192,154,
20260325,2026-03-25 04:55:01 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-198,164,
20260325,2026-03-25 04:55:01 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,betrivers,BetRivers,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-215,155,
20260325,2026-03-25 04:55:01 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-2400,1200,
20260325,2026-03-25 04:55:01 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,fanduel,FanDuel,2026-03-25T08:54:16Z,h2h,2026-03-25T08:54:15Z,-3000,1120,
20260325,2026-03-25 04:55:01 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betrivers,BetRivers,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-5000,950,
20260325,2026-03-25 04:55:01 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betmgm,BetMGM,2026-03-25T08:54:07Z,h2h,2026-03-25T08:54:07Z,-2000,1000,
20260325,2026-03-25 04:55:01 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,draftkings,DraftKings,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-500,380,
20260325,2026-03-25 04:55:01 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,fanduel,FanDuel,2026-03-25T08:54:16Z,h2h,2026-03-25T08:54:15Z,-500,360,
20260325,2026-03-25 04:55:01 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,betrivers,BetRivers,2026-03-25T08:54:45Z,h2h,2026-03-25T08:54:45Z,-500,325,
20260325,2026-03-25 06:52:22 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,draftkings,DraftKings,2026-03-25T10:51:36Z,h2h,2026-03-25T10:51:36Z,-225,185,
20260325,2026-03-25 06:52:22 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,fanduel,FanDuel,2026-03-25T10:51:38Z,h2h,2026-03-25T10:51:38Z,-230,184,
20260325,2026-03-25 06:52:22 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betrivers,BetRivers,2026-03-25T10:51:25Z,h2h,2026-03-25T10:51:25Z,-245,180,
20260325,2026-03-25 06:52:22 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betmgm,BetMGM,2026-03-25T10:49:57Z,h2h,2026-03-25T10:49:57Z,-220,180,
20260325,2026-03-25 06:52:22 EDT,dd316675d9b1d54fe3f465a1fbc7ee24,basketball_wncaab,WNCAAB,2026-03-27T21:00:00Z,UConn Huskies,North Carolina Tar Heels,draftkings,DraftKings,2026-03-25T10:51:36Z,h2h,2026-03-25T10:51:36Z,-100000,5000,
20260325,2026-03-25 06:52:22 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,draftkings,DraftKings,2026-03-25T10:51:36Z,h2h,2026-03-25T10:51:36Z,-3600,1500,
20260325,2026-03-25 06:52:22 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,fanduel,FanDuel,2026-03-25T10:51:38Z,h2h,2026-03-25T10:51:38Z,-4000,1260,
20260325,2026-03-25 06:52:22 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,betmgm,BetMGM,2026-03-25T10:49:57Z,h2h,2026-03-25T10:49:57Z,-5000,1350,
20260325,2026-03-25 06:52:22 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,draftkings,DraftKings,2026-03-25T10:51:36Z,h2h,2026-03-25T10:51:36Z,-395,310,
20260325,2026-03-25 06:52:22 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betrivers,BetRivers,2026-03-25T10:51:25Z,h2h,2026-03-25T10:51:25Z,-435,290,
20260325,2026-03-25 06:52:22 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,fanduel,FanDuel,2026-03-25T10:51:38Z,h2h,2026-03-25T10:51:38Z,-400,300,
20260325,2026-03-25 06:52:22 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betmgm,BetMGM,2026-03-25T10:49:57Z,h2h,2026-03-25T10:49:57Z,-350,280,
20260325,2026-03-25 06:52:22 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,draftkings,DraftKings,2026-03-25T10:51:36Z,h2h,2026-03-25T10:51:36Z,-1350,800,
20260325,2026-03-25 06:52:22 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,fanduel,FanDuel,2026-03-25T10:51:38Z,h2h,2026-03-25T10:51:38Z,-2200,980,
20260325,2026-03-25 06:52:22 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betrivers,BetRivers,2026-03-25T10:51:25Z,h2h,2026-03-25T10:51:25Z,-2000,800,
